"LOCATION","Country","VAR","Variable","ISIC4","ISIC4","SRC","Source","SCL","Size Class","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2013","2013","RON","Romanian Leu","6","Millions",,,0.067,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2014","2014","RON","Romanian Leu","6","Millions",,,0.068,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2015","2015","RON","Romanian Leu","6","Millions",,,0.068,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2016","2016","RON","Romanian Leu","6","Millions",,,0.071,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2017","2017","RON","Romanian Leu","6","Millions",,,0.082,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2018","2018","RON","Romanian Leu","6","Millions",,,0.091,"B","Break"
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2019","2019","RON","Romanian Leu","6","Millions",,,0.104,,
"ROU","Romania","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2020","2020","RON","Romanian Leu","6","Millions",,,0.113,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2005","2005","EUR","Euro","6","Millions",,,0.025,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2006","2006","EUR","Euro","6","Millions",,,0.026,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2007","2007","EUR","Euro","6","Millions",,,0.03,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2008","2008","EUR","Euro","6","Millions",,,0.032,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2009","2009","EUR","Euro","6","Millions",,,0.028,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2010","2010","EUR","Euro","6","Millions",,,0.027,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2011","2011","EUR","Euro","6","Millions",,,0.027,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2012","2012","EUR","Euro","6","Millions",,,0.026,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2013","2013","EUR","Euro","6","Millions",,,0.026,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2014","2014","EUR","Euro","6","Millions",,,0.028,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2015","2015","EUR","Euro","6","Millions",,,0.028,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2016","2016","EUR","Euro","6","Millions",,,0.029,,
"SVN","Slovenia","VAPE","Labour productivity, national currency","69_75","Professional, scientific and technical activities","SSIS","Structural Statistics of Industry and Services","TOTAL","Total","2017","2017","EUR","Euro","6","Millions",,,0.031,,
